OPR_DT,OPR_HR,$/MW
2025-01-10,1,44.02247
2025-01-10,10,20.14818
2025-01-10,11,18.71779
2025-01-10,12,17.51152
2025-01-10,13,16.36023
2025-01-10,14,13.80814
2025-01-10,15,15.27612
2025-01-10,16,25.82143
2025-01-10,17,46.41052
2025-01-10,18,49.76798
2025-01-10,19,48.32014
2025-01-10,2,43.58637
2025-01-10,20,47.07377
2025-01-10,21,46.58034
2025-01-10,22,46.54286
2025-01-10,23,45.85853
2025-01-10,24,44.74139
2025-01-10,3,43.61065
2025-01-10,4,43.78152
2025-01-10,5,43.85652
2025-01-10,6,50.77697
2025-01-10,7,56.36985
2025-01-10,8,52.0795
2025-01-10,9,34.26323
