StartTime_GMT,$/MW
2025-04-10 00:00:00+00:00,18.39588
2025-04-10 01:00:00+00:00,48.76914
2025-04-10 02:00:00+00:00,54.68878
2025-04-10 03:00:00+00:00,50.35215
2025-04-10 04:00:00+00:00,48.64582
2025-04-10 05:00:00+00:00,46.69302
2025-04-10 06:00:00+00:00,43.54821
2025-04-10 07:00:00+00:00,40.58558
2025-04-10 08:00:00+00:00,40.09454
2025-04-10 09:00:00+00:00,36.11954
2025-04-10 10:00:00+00:00,34.84595
2025-04-10 11:00:00+00:00,36.45646
2025-04-10 12:00:00+00:00,41.48765
2025-04-10 13:00:00+00:00,49.13702
2025-04-10 14:00:00+00:00,33.06252
2025-04-10 15:00:00+00:00,-1.60682
2025-04-10 16:00:00+00:00,-5.95592
2025-04-10 17:00:00+00:00,-5.98615
2025-04-10 18:00:00+00:00,-6.7335
2025-04-10 19:00:00+00:00,-6.96041
2025-04-10 20:00:00+00:00,-7.67232
2025-04-10 21:00:00+00:00,-7.40127
2025-04-10 22:00:00+00:00,-4.26594
2025-04-10 23:00:00+00:00,2.13313
